Market On South,2/3/2017,"My 100th review goes to one of my favorite vegan restaurants in town! I love this place and can't believe I hadnt posted a review. This restaurant has saved my life on most meatless Mondays, have always felt full and satisfied with most of what Ive ordered.

First off the staff is very friendly and helpful, everytime I can't decide what to get they practically make the decision for me and the food is always great!
Ive had their pulled BBQ jackfruit sandwich, tiki tacos, mac n cheese, potatoe salad, and of course can't miss out on the best donuts in town!!! I usually stob try and order something different while Im there so I prob didn't mention every meal Ive had but my favorites are def their tacos and donuts, so must try those!

Overall if you want to experience the best vegan option in town that has a pleasant atmosphere, great food, and the best donuts this place is it! I would even consider going vegan if I could afford their food everyday (let me not get carried away, I still like meat!...but you get my point).",5,4,1,4,Juanita C.,84fJiqGWmwZFWA9CsJSP0g,
Market On South,1/31/2017,"What a wonderful find. Market on South is a three business consisting of Dixie Dharma, Valhalla Bakery and Humble Bumble Kombucha.I've had the pleasure of trying both Dixie Dharma and Valhalla Bakery on separate occasions but not Humble Bumble Kombucha yet. I've heard great things though. This place has a very bohemian vibe. The outside looks like a house and the inside is very cozy and small.

Dixie Dharma is plant based food. They use all plants to make sothern style food. It's really cool because they have sloppy joes, pulled pork Sandwhiches and other southern cuisines but it's plant based and absolutely mouth watering. I'd say it's great for vegans specifically but it's honestly great for anyone to try.

Valhalla bakery is a 100% vegan bakery. They focus on just about any dessert you can think of but it's vegan.  They are most popularly known for their donuts which taste and look amazing. Also they're kind bigger than your face. They also make cakes, cookies, cupcakes, brownies and more. They can specialize anything... like the most amazing unicorn cakes and more upon ordering.

I 100% suggest trying Market on South! I wrote a personalized review for Dharma Dixie and Valhalla Bakery if your interested in lerarning about my experience with each check them both out!",4,1,,,Ashley B.,yROH68ur31AmT04scG24mg,
Market On South,1/29/2017,"Ok so I can DEFINITELY tell that this isn't real meat, but that doesn't take away from the fact that the food is good for what it is.

The Orange Bird - An orange bbq sloppy joe and sloppy it was. Couldn't taste much of the roasted garlic sauce, but the sandwich as a whole was quite delicious. The bbq was sticky and sweet, nicely counterbalanced by the slaw. It's pretty hearty so it's a good pick if you're especially hungry.

Crispy Brussels - A little too burnt for my taste and still retained the natural bitterness. I had trouble finishing it, but pushed through since I paid the extra $1 for this premium side.

They also have some baked goods which quickly disappear, and once they're gone, they're gone. Many customers came solely for the donuts so I have little doubt that they're good.

Overall, this is how you do vegan. A bit pricey, but I'd be willing to come back to try their other dishes and their desserts.",4,3,2,2,Tracey K.,FFmaRF_y7hA9Kt94yv1K5Q,f8d50af8-3446-3791-aa68-dbd75d19f44c.jpg
Market On South,2/25/2017,"I was so excited to try this place during my visit to Orlando from NJ! I was not disappointed. The jackfruit sandwich is so flavorful and the texture is fantastic. The curry peanuts are such a unique side and were delicious! Finished my meal off with some doughnuts which were made so well. Nice and soft and not too sweet! They also sell some goods from local crafters, such as jewelry, shirts, sauces and more. I will definitely be stopping by for another visit before returning home.",5,,,,Natasha G.,Of-8NG_jo2beWr4KSXmwvw,"a46f4459-c1bf-39ac-9fa8-09e0f24ed349.jpg,bf2775a2-c9df-315d-b57c-def14e75b60c.jpg,04d5d245-c6a0-3588-9149-d96c74f78111.jpg,b34eb1a9-7dd7-317f-a21f-07c207b69cb4.jpg"
Market On South,1/26/2017,"I tried this place when it first opened and wasn't all that impressed...

But, now I gave it another try and I LOVE it! I checked it out with a friend who can't eat any kind of food with unnatural additives and usually eats vegan out of convenience. She could eat everything here and was super happy with Valhalla Bakery! It was breakfast time so she opted for all sweets - a cookie brownie which was to die for and the Death by Peanut Butter which was super rich but heavenly!

I opted to try the more savory side of things and ordered their Jackfruit Bbq Sandwich and Brussel sprouts. The sandwich was good, but wasn't super memorable to me (maybe it might be more so for vegans that don't eat regular bbq, but for me, it felt like it was missing something). But, the Brussel sprouts STOLE THE SHOW! They were phenomenal and I would go back just to have them again. They kind of tasted like Kobe's Hibachi as strange as that sounds? Maybe it's just that they're a little charred and the sauce has a similar teriyaki taste, but I'm not crazy because my friend totally agreed with me.

I will definitely be trying out other sandwiches and sweets here! I'm eyeing the donuts big time!

I definitely recommend trying this place out - or trying it again, if like me you thought it wasn't amazing when it first opened!",4,4,2,3,Allie R.,fuSnEjjZMdZ5TNBjhO7v2g,
Market On South,2/25/2017,This place is just amazing. The key lime cup and Berry bar are my favorite. Brunch is on weekends is also 10/10! That wet burrito,5,,,,Melanie A.,S1vqbdPtMZ-mDxZ4Jzhzsw,"45b7e9cb-26d2-317d-a1c6-c2fa3c3e489c.jpg,c5276e01-43d8-3370-94e1-6da273b576eb.jpg"
Market On South,2/25/2017,Ok... I ordered the soft taco and it was good. I don't know what value the jackfruit added since it didn't really taste like anything but I thought (perhaps bulk) I'd try it since I've never had jackfruit. The kale salad was surprisingly delicious (there's an aromatic taste but I just can't put my finger on this ingredient). I had the death by chocolate cupcake because the bar was pretty large and O M G... moistest vegan chocolate cupcake ever! The top was covered in a vegan buttercream with chocolate chip cookie and I know I tasted PB in there somewhere. My husband had the donut and I thought I saw his eyes roll back for a second. I am afraid to try it because then I'll be hooked and will start eating and ordering donuts from this place! Such a sin!!! :),5,,,,Beatriz K.,vlk0Sx7SFK3OLdiKOcCeFQ,"8a85d98a-6b35-3252-9b46-43d0e67ff1b0.jpg,0c072980-bafb-3b47-89a6-408d28f9da7a.jpg"
Market On South,2/25/2017,Tried the brookie! Was $7 and it was a very generous portion! Tasted absolutely delicious. Would have never thought it was vegan!  So decadent and not overly sweet! It was everything a brownie cookie should be!,5,,,,Heidy C.,ymi3Ja1MvGjKasUt6TmNPA,8512ee19-21ff-337d-9465-764d4f4c3456.jpg
Market On South,1/11/2017,"I had bookmarked this place when I was in town last week. I couldn't stop drooling while I was bookmarking hot spots.
I went with my mom and we didn't have enough time to sit down, so we ordered to go. The location is right off of the highway so it's very convenient. There is enough parking, but I wouldn't recommend a big group as there might not be enough seating.

It's a chill spot that you can drink, catch up with your friends and enjoy delicious and healthy food.
I ordered the T.L.T.- their take on BLT with tempeh. It was AMAZING. The pressed bread and texture of the tempeh, arugula, and tomatoes was definitely a delicious mouth party. (Keep your minds out of the gutter, ya'll. You wish you were invited to the TLT party.)
The TLT was a combo so I chose the crispy brussels sprouts. They were as crispy as they were marketed to be and also delicious. They weren't bitter and left a pleasant aftertaste.
We also ordered the nopales taco and Tiki tako. The tiki tako had BBQ jackfruit. Never had that before and was in love. The nopales taco tasted like a fajita. I was more a fan of the tiki.

They are moderately priced, but well worth it since it's a vegetarian/vegan establishment.
ALSO, dessert is no joke to them. I got the hibiscus berry donut and y'all....heart eyes. Someone propose to me with all those desserts and I will say yes. Lol",5,3,,1,Phuong D.,NFU9LVhaB0TJ8Rj9iZm8Eg,"14ea5724-7368-3fdd-81bf-0076d9bcedcc.jpg,4ad650d8-0fa9-365a-a7d8-8b8737f0bf6c.jpg,688072af-5ac8-3850-8eb7-b04caf5208c7.jpg,19418de3-4d5a-353a-8ab3-b70f17157920.jpg"
Market On South,9/24/2016,"I enjoyed most of the food that I have had at this establishment but I'm only giving this place a 5 because of their donuts.
That being said I have to say I am not a donut person, therefore that means a lot coming from me. But their donuts are amazing!! I don't know how else to put it. I honestly dream about them like a schoolgirl dreams about her crush. First time I came here I have the Jackfruit sandwich, it was really good honestly tastes like meat. my friend ordered their home fries with cheese and I would advise against ordering that it wasn't good. In addition to that all of the other sweets that I've tried I didn't really enjoy either, they were dry.
But definitely come here for the donuts they are life-changing!",5,14,5,8,Allene C.,8iUnOwV5iiMQRA7d09Rb2A,"d0222f5a-776f-3033-8f5f-fe32bbe85c92.jpg,50484f6f-08de-3eaf-ab44-9a1c27d57405.jpg"
