,0,tf-idt
0,food,1.58271079
1,good,1.868450624
2,place,1.914578342
3,great,1.952282271
4,service,2.046454261
5,just,2.398834367
6,like,2.405088069
7,time,2.469519516
8,restaurant,2.552337744
9,really,2.608932434
10,delicious,2.643908305
11,ordered,2.733543312
12,best,2.743313516
13,nice,2.813694756
14,menu,2.819411279
15,try,2.823823862
16,definitely,2.888669536
17,ve,2.903076083
18,orlando,2.908476096
19,amazing,2.949097569
20,chicken,2.952602032
21,friendly,2.957539535
22,came,2.962342796
23,got,2.970737723
24,little,2.992038644
25,order,3.00631127
26,love,3.00780517
27,don,3.010744147
28,staff,3.056595334
29,come,3.076264249
30,fresh,3.100753799
31,eat,3.129353591
32,experience,3.14345873
33,went,3.147780313
34,table,3.15905309
35,meal,3.162537414
36,didn,3.221373997
37,dinner,3.231156384
38,did,3.246503738
39,sauce,3.247769917
40,make,3.254408359
41,pretty,3.254479218
42,better,3.26846546
43,server,3.269472003
44,recommend,3.292685707
45,wait,3.304684073
46,cheese,3.332946495
47,atmosphere,3.334864483
48,lunch,3.354327742
49,bar,3.366380352
50,night,3.370748732
51,salad,3.385341678
52,excellent,3.389712739
53,people,3.393369942
54,right,3.417264957
55,way,3.419518996
56,sure,3.426648404
57,area,3.433405186
58,say,3.462118583
59,favorite,3.463253013
60,awesome,3.480869958
61,bit,3.483717695
62,know,3.509444618
63,small,3.513935301
64,think,3.516602582
65,want,3.525390391
66,going,3.52874079
67,tried,3.533881229
68,tasty,3.536508365
69,drinks,3.543011993
70,worth,3.553755073
71,day,3.55729795
72,wasn,3.624134874
73,taste,3.626804828
74,price,3.629688158
75,flavor,3.642140327
76,times,3.652531394
77,new,3.659731764
78,took,3.666342301
79,ll,3.668805752
80,fried,3.687750838
81,visit,3.688297436
82,sweet,3.701284631
83,bad,3.706504835
84,happy,3.706504835
85,rice,3.719845093
86,shrimp,3.729825895
87,said,3.732679615
88,hot,3.737607145
89,steak,3.748464262
90,meat,3.751604712
91,bread,3.757915356
92,beer,3.794326421
93,pork,3.796395429
94,minutes,3.797126691
95,dish,3.835148416
96,fries,3.856266497
97,sushi,3.871647405
98,burger,3.92451127
99,pizza,4.12266164
