Rating,# words,# pics,Days since review,Useful
5,186,0,168,Slightly Useful
4,213,0,171,Not Useful
4,166,1,173,Slightly Useful
5,87,4,146,Not Useful
4,239,0,176,Slightly Useful
5,25,2,146,Not Useful
5,143,2,146,Not Useful
5,36,1,146,Not Useful
5,244,4,191,Slightly Useful
5,135,2,300,Moderately Useful
5,94,2,180,Not Useful
5,184,0,217,Slightly Useful
5,28,5,141,Not Useful
5,45,0,141,Not Useful
4,109,5,306,Slightly Useful
4,190,4,317,Slightly Useful
5,232,0,243,Slightly Useful
4,250,2,334,Slightly Useful
4,148,1,374,Slightly Useful
5,32,0,191,Slightly Useful
5,32,1,189,Slightly Useful
5,49,1,432,Moderately Useful
5,55,2,351,Not Useful
4,89,0,146,Not Useful
5,138,0,183,Not Useful
5,56,0,150,Not Useful
5,235,9,457,Moderately Useful
3,79,0,253,Not Useful
5,77,1,192,Not Useful
5,105,1,373,Not Useful
4,141,1,180,Not Useful
5,331,11,480,Moderately Useful
5,53,0,152,Not Useful
5,129,9,484,Moderately Useful
5,34,0,161,Not Useful
5,291,2,499,Moderately Useful
5,29,0,151,Not Useful
5,109,2,497,Slightly Useful
4,72,4,217,Not Useful
4,194,0,162,Not Useful
5,61,0,142,Not Useful
5,266,12,543,Highly Useful
5,78,0,239,Slightly Useful
4,80,0,341,Not Useful
5,168,4,386,Highly Useful
5,92,0,381,Slightly Useful
5,94,1,545,Not Useful
3,150,0,382,Slightly Useful
5,311,6,568,Slightly Useful
2,388,0,408,Slightly Useful
5,76,5,575,Slightly Useful
5,81,1,247,Not Useful
5,15,1,188,Not Useful
5,85,4,407,Slightly Useful
3,272,0,408,Slightly Useful
5,111,0,445,Moderately Useful
5,53,0,187,Not Useful
5,13,0,167,Not Useful
5,205,1,618,Slightly Useful
5,276,16,639,Highly Useful
5,104,3,362,Not Useful
5,586,15,462,Highly Useful
4,143,1,268,Not Useful
5,246,3,646,Highly Useful
5,148,6,451,Slightly Useful
5,302,4,472,Highly Useful
5,148,0,267,Not Useful
4,195,1,200,Not Useful
5,472,15,614,Slightly Useful
5,70,3,360,Not Useful
5,97,1,474,Moderately Useful
5,224,1,664,Highly Useful
4,114,1,385,Not Useful
3,214,2,459,Slightly Useful
3,60,2,480,Moderately Useful
5,23,0,198,Not Useful
5,109,2,635,Slightly Useful
5,22,0,177,Not Useful
3,117,0,468,Not Useful
4,16,0,154,Not Useful
5,430,2,634,Not Useful
5,59,1,218,Not Useful
5,30,1,391,Not Useful
5,154,2,529,Moderately Useful
5,74,2,504,Slightly Useful
5,171,0,527,Moderately Useful
4,122,0,325,Slightly Useful
2,54,0,160,Not Useful
3,34,0,279,Not Useful
5,46,0,242,Slightly Useful
4,78,0,346,Slightly Useful
5,388,0,521,Not Useful
5,827,6,577,Moderately Useful
5,252,2,532,Slightly Useful
5,36,1,495,Not Useful
5,31,0,266,Slightly Useful
1,40,0,161,Not Useful
5,21,0,238,Not Useful
5,253,2,246,Not Useful
5,108,2,576,Slightly Useful
5,280,0,578,Slightly Useful
4,125,2,558,Slightly Useful
5,121,1,607,Slightly Useful
5,87,0,314,Not Useful
5,26,1,364,Not Useful
5,44,1,406,Slightly Useful
3,115,0,222,Not Useful
5,444,5,644,Moderately Useful
5,29,1,449,Slightly Useful
5,133,0,433,Slightly Useful
5,137,2,643,Slightly Useful
5,100,2,652,Moderately Useful
5,71,1,404,Not Useful
3,422,0,456,Slightly Useful
3,164,0,460,Slightly Useful
5,53,0,272,Slightly Useful
5,20,0,198,Not Useful
5,7,0,274,Slightly Useful
4,219,12,468,Slightly Useful
5,68,0,406,Not Useful
5,24,5,439,Not Useful
4,209,0,425,Not Useful
5,163,15,664,Slightly Useful
5,120,0,370,Not Useful
5,55,0,209,Not Useful
5,54,1,526,Not Useful
5,264,1,528,Not Useful
5,37,0,403,Not Useful
5,24,0,287,Not Useful
4,167,3,601,Not Useful
4,84,0,414,Not Useful
4,93,0,285,Not Useful
5,27,0,291,Not Useful
5,220,1,587,Not Useful
5,74,0,278,Not Useful
5,13,1,398,Not Useful
5,316,1,464,Not Useful
5,19,0,419,Not Useful
5,240,0,479,Not Useful
5,56,1,399,Not Useful
2,185,0,522,Slightly Useful
5,23,0,319,Not Useful
5,31,1,631,Not Useful
5,71,0,285,Not Useful
4,192,0,444,Not Useful
5,24,0,411,Not Useful
4,149,0,502,Not Useful
5,91,0,414,Not Useful
4,32,1,517,Not Useful
5,86,0,542,Slightly Useful
5,198,0,477,Not Useful
5,101,2,656,Not Useful
5,304,2,463,Not Useful
5,17,0,226,Not Useful
5,53,0,523,Not Useful
5,9,3,530,Not Useful
4,34,0,294,Not Useful
5,142,5,633,Not Useful
5,178,1,549,Slightly Useful
5,62,0,466,Not Useful
5,135,3,657,Not Useful
5,103,0,363,Not Useful
5,280,0,306,Not Useful
4,93,1,493,Not Useful
4,74,1,560,Slightly Useful
2,29,0,416,Not Useful
5,59,1,525,Not Useful
5,31,0,390,Slightly Useful
5,65,6,554,Not Useful
5,78,1,642,Not Useful
5,16,0,337,Not Useful
4,130,0,312,Not Useful
5,69,0,335,Not Useful
5,52,2,504,Not Useful
5,127,4,534,Not Useful
5,206,2,568,Not Useful
3,55,0,336,Not Useful
5,18,0,318,Not Useful
4,121,0,568,Not Useful
4,142,0,256,Slightly Useful
5,171,0,604,Slightly Useful
4,47,0,260,Not Useful
3,54,0,311,Not Useful
5,117,0,557,Not Useful
5,19,1,527,Not Useful
5,38,0,602,Not Useful
5,148,1,617,Not Useful
5,47,0,349,Not Useful
5,81,2,621,Slightly Useful
5,142,3,576,Not Useful
5,58,0,458,Slightly Useful
5,113,0,325,Not Useful
5,58,1,661,Slightly Useful
4,8,0,285,Not Useful
5,51,0,541,Not Useful
5,78,0,385,Not Useful
5,69,0,605,Not Useful
4,80,0,339,Not Useful
5,54,0,460,Not Useful
5,28,1,602,Not Useful
5,25,0,395,Not Useful
5,43,0,369,Not Useful
5,84,0,437,Not Useful
5,133,1,657,Slightly Useful
5,66,0,287,Not Useful
4,39,0,341,Not Useful
5,23,0,377,Not Useful
5,142,0,655,Slightly Useful
5,15,0,359,Not Useful
5,17,1,552,Not Useful
5,37,2,617,Not Useful
5,27,0,436,Not Useful
5,30,1,580,Not Useful
5,82,0,487,Not Useful
5,46,0,611,Not Useful
5,21,0,477,Not Useful
5,18,0,386,Not Useful
5,61,0,462,Not Useful
5,73,0,390,Not Useful
5,22,0,411,Not Useful
5,41,1,622,Not Useful
5,44,0,429,Not Useful
5,25,0,454,Not Useful
2,510,0,538,Slightly Useful
5,32,0,421,Not Useful
4,17,0,437,Not Useful
5,70,0,297,Not Useful
5,192,4,459,Not Useful
2,166,0,450,Not Useful
5,64,0,437,Not Useful
5,72,0,534,Not Useful
5,33,0,442,Not Useful
5,39,0,551,Not Useful
4,19,0,435,Not Useful
5,127,0,559,Not Useful
5,24,2,623,Not Useful
4,105,0,541,Not Useful
5,79,1,638,Not Useful
5,20,0,458,Not Useful
5,280,0,298,Not Useful
5,19,0,500,Not Useful
4,21,0,514,Not Useful
5,146,1,504,Not Useful
5,61,0,455,Not Useful
5,42,0,470,Not Useful
5,97,0,496,Not Useful
5,90,0,581,Not Useful
5,34,0,577,Not Useful
5,10,0,310,Not Useful
4,106,0,484,Not Useful
5,40,0,562,Not Useful
5,33,0,513,Not Useful
5,29,0,556,Not Useful
4,212,0,636,Slightly Useful
5,29,0,524,Not Useful
5,36,0,524,Not Useful
5,247,0,544,Not Useful
5,140,0,511,Not Useful
5,194,1,581,Not Useful
